Operator,EstimationOrder,ID,Northing,Easting,Bearing,Monarch
Cory,7,M2,4662928.52,437657.85,266,l
Julia,7,M2,4662873.11,437659.02,296,l
Alec,8,M2,4662939.07,437482.1,119,l
Anthony,8,M2,4662870.62,437437.67,81,l
Cory,8,M2,4662928.52,437657.85,267,l
Julia,8,M2,4662873.11,437659.02,294,l
Alec,9,M2,4662939.07,437482.1,121,l
Anthony,9,M2,4662870.62,437437.67,85,l
Cory,9,M2,4662928.52,437657.85,269,l
Julia,9,M2,4662873.11,437659.02,294,l
Alec,10,M2,4662939.07,437482.1,120,l
Cory,10,M2,4662928.52,437657.85,256,l
Julia,10,M2,4662873.11,437659.02,290,l
Alec,11,M2,4662939.07,437482.1,112,l
Cory,11,M2,4662928.52,437657.85,264,l
Julia,11,M2,4662873.11,437659.02,296,l
Alec,12,M2,4662939.07,437482.1,110,l
Anthony,12,M2,4662870.62,437437.67,88,l
Cory,12,M2,4662928.52,437657.85,272,l
Julia,12,M2,4662873.11,437659.02,295,l
Alec,13,M2,4662939.07,437482.1,114,l
Anthony,13,M2,4662870.62,437437.67,59,l
Julia,13,M2,4662873.11,437659.02,290,l
Alec,14,M2,4662939.07,437482.1,114,l
Anthony,14,M2,4662870.62,437437.67,59,l
Cory,14,M2,4662928.52,437657.85,266,l
Alec,15,M2,4662939.07,437482.1,115,l
Anthony,15,M2,4662870.62,437437.67,58,l
Cory,15,M2,4662928.52,437657.85,269,l
Julia,15,M2,4662873.11,437659.02,294,l
Alec,16,M2,4662939.07,437482.1,115,l
Anthony,16,M2,4662870.62,437437.67,60,l
Cory,16,M2,4662928.52,437657.85,268,l
Julia,16,M2,4662873.11,437659.02,292,l
Alec,17,M2,4662939.07,437482.1,114,l
Anthony,17,M2,4662870.62,437437.67,60,l
Julia,17,M2,4662873.11,437659.02,285,l
Alec,18,M2,4662939.07,437482.1,114,l
Anthony,18,M2,4662870.62,437437.67,58,l
Cory,18,M2,4662928.52,437657.85,258,l
Julia,18,M2,4662873.11,437659.02,294,l
Alec,19,M2,4662939.07,437482.1,115,l
Anthony,19,M2,4662870.62,437437.67,58,l
Julia,19,M2,4662873.11,437659.02,290,l
Alec,20,M2,4662939.07,437482.1,114,l
Anthony,20,M2,4662870.62,437437.67,59,l
Cory,20,M2,4662928.52,437657.85,263,l
Alec,21,M2,4662939.07,437482.1,114,l
Anthony,21,M2,4662870.62,437437.67,62,l
Cory,21,M2,4662928.52,437657.85,260,l
Julia,21,M2,4662873.11,437659.02,286,l
Alec,22,M2,4662939.07,437482.1,115,l
Anthony,22,M2,4662870.62,437437.67,63,l
Julia,22,M2,4662873.11,437659.02,287,l
Alec,23,M2,4662939.07,437482.1,115,l
Anthony,23,M2,4662870.62,437437.67,56,l
Cory,23,M2,4662928.52,437657.85,259,l
Julia,23,M2,4662873.11,437659.02,294,l
Alec,24,M2,4662939.07,437482.1,115,l
Anthony,24,M2,4662870.62,437437.67,61,l
Cory,24,M2,4662928.52,437657.85,266,l
Alec,25,M2,4662939.07,437482.1,114,l
Anthony,25,M2,4662870.62,437437.67,65,l
Julia,25,M2,4662873.11,437659.02,285,l
Alec,26,M2,4662939.07,437482.1,115,l
Anthony,26,M2,4662870.62,437437.67,67,l
Cory,26,M2,4662928.52,437657.85,270,l
Julia,26,M2,4662873.11,437659.02,291,l
Alec,27,M2,4662939.07,437482.1,114,l
Anthony,27,M2,4662870.62,437437.67,58,l
Cory,27,M2,4662928.52,437657.85,265,l
Alec,28,M2,4662939.07,437482.1,116,l
Anthony,28,M2,4662870.62,437437.67,63,l
Julia,28,M2,4662873.11,437659.02,287,l
Alec,29,M2,4662939.07,437482.1,115,l
Anthony,29,M2,4662870.62,437437.67,62,l
Cory,29,M2,4662928.52,437657.85,274,l
Julia,29,M2,4662873.11,437659.02,296,l
Alec,30,M2,4662939.07,437482.1,114,l
Anthony,30,M2,4662870.62,437437.67,61,l
Cory,30,M2,4662928.52,437657.85,269,l
Alec,31,M2,4662939.07,437482.1,116,l
Anthony,31,M2,4662870.62,437437.67,62,l
Cory,31,M2,4662928.52,437657.85,262,l
Alec,32,M2,4662939.07,437482.1,110,l
Anthony,32,M2,4662870.62,437437.67,65,l
Cory,32,M2,4662928.52,437657.85,268,l
Julia,1,63,4662864.4,437676.4,298,m
Jackie,1,63,4662949.89,437550.2,193,m
Cory,1,63,4662870.4,437441.35,65,m
Julia,2,63,4662864.4,437676.4,292,m
Jackie,2,63,4662949.89,437550.2,199,m
Cory,2,63,4662870.4,437441.35,63,m
Julia,3,63,4662864.4,437676.4,300,m
Jackie,3,63,4662949.89,437550.2,194,m
Cory,3,63,4662870.4,437441.35,59,m
Julia,4,63,4662864.4,437676.4,282,m
Jackie,4,63,4662949.89,437550.2,195,m
Cory,4,63,4662870.4,437441.35,60,m
Julia,5,63,4662864.4,437676.4,295,m
Jackie,5,63,4662949.89,437550.2,197,m
Cory,5,63,4662870.4,437441.35,63,m
Julia,6,63,4662864.4,437676.4,288,m
Jackie,6,63,4662949.89,437550.2,191,m
Cory,6,63,4662870.4,437441.35,83,m
Julia,7,63,4662864.4,437676.4,300,m
Jackie,7,63,4662949.89,437550.2,195,m
Cory,7,63,4662870.4,437441.35,66,m
